City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pisco,-13.7,-76.22,59.0,87.0,90.0,2.24,PE,1593153219
Chara,56.91,118.26,70.41,43.0,100.0,6.76,RU,1593153431
Miles City,46.41,-105.84,62.6,67.0,1.0,3.36,US,1593153405
Trincomalee,8.57,81.23,88.93,63.0,100.0,14.03,LK,1593153431
Pacora,9.08,-79.28,80.6,88.0,40.0,2.24,PA,1593153431
Addis Ababa,9.03,38.75,68.88,44.0,0.0,0.98,ET,1593153277
Sistranda,63.73,8.83,68.0,64.0,93.0,16.04,NO,1593153214
Brookhaven,31.58,-90.44,69.01,67.0,100.0,4.47,US,1593153431
Grande Prairie,55.17,-118.8,55.4,66.0,75.0,6.93,CA,1593153405
Longyearbyen,78.22,15.64,50.0,71.0,75.0,6.93,SJ,1593153405
Faya,18.39,42.45,78.8,17.0,0.0,9.17,SA,1593153197
Mīzan Teferī,6.98,35.58,66.45,90.0,84.0,1.1,ET,1593153431
Richards Bay,-28.78,32.04,67.66,59.0,0.0,16.44,ZA,1593153180
Meulaboh,4.14,96.13,85.35,65.0,99.0,5.99,ID,1593153193
Tasiilaq,65.61,-37.64,39.2,93.0,94.0,4.7,GL,1593153206
Hamilton,39.18,-84.53,70.0,93.0,1.0,4.85,US,1593152933
Ixtapa,20.7,-105.2,78.01,97.0,100.0,1.01,MX,1593153218
Olafsvik,64.89,-23.71,49.05,82.0,100.0,6.91,IS,1593153214
Kiruna,67.86,20.23,55.4,54.0,51.0,2.24,SE,1593153188
Borba,-4.39,-59.59,74.91,78.0,35.0,1.3,BR,1593153431
Punta de Piedra,7.62,-71.49,71.51,92.0,100.0,2.33,VE,1593153432
Níjar,36.97,-2.21,71.6,78.0,0.0,3.36,ES,1593153168
Gizo Government Station,-8.1,156.84,83.34,78.0,12.0,15.32,SB,1593153432
Yenagoa,4.92,6.26,76.51,91.0,100.0,7.58,NG,1593153432
Dobele,56.62,23.28,73.4,64.0,0.0,3.36,LV,1593153432
Lesogorsk,56.05,99.51,81.12,45.0,100.0,3.65,RU,1593153432
Shima,24.45,117.81,93.2,67.0,40.0,13.42,CN,1593153432
Pau dos Ferros,-6.11,-38.21,68.61,84.0,93.0,4.54,BR,1593153432
Puerto Colombia,10.99,-74.95,82.4,78.0,100.0,9.17,CO,1593153432
Mbanza-Ngungu,-5.25,14.87,66.33,84.0,100.0,5.32,CD,1593153432
Gijang,35.24,129.21,82.4,58.0,20.0,5.82,KR,1593153220
Westport,41.14,-73.36,69.8,77.0,1.0,3.36,US,1593153143
Dalbandin,28.89,64.41,103.82,8.0,0.0,4.83,PK,1593153432
Salalah,17.02,54.09,89.6,70.0,20.0,8.05,OM,1593152998
Solnechnyy,50.72,136.63,68.85,55.0,59.0,5.28,RU,1593153219
Flagstaff,35.2,-111.65,72.0,18.0,1.0,4.7,US,1593153385
Lockport,41.59,-88.06,69.8,68.0,1.0,5.82,US,1593153432
Pemberton,50.32,-122.8,64.74,58.0,86.0,3.76,CA,1593153306
Paramirim,-13.44,-42.24,63.5,90.0,1.0,5.91,BR,1593153433
Mpanda,-6.37,31.04,74.26,47.0,89.0,7.27,TZ,1593153433
Brae,60.4,-1.35,60.8,82.0,80.0,16.11,GB,1593153433
Myingyan,21.47,95.38,87.8,79.0,75.0,11.41,MM,1593153407
Great Yarmouth,52.61,1.73,71.6,73.0,97.0,4.7,GB,1593153433
Saint-Pierre,-21.34,55.48,75.2,73.0,90.0,24.16,RE,1593153433
Jacmel,18.23,-72.53,82.4,74.0,1.0,6.93,HT,1593153433
Uarini,-2.99,-65.11,72.16,95.0,100.0,1.5,BR,1593153433
Bereket,39.24,55.52,94.86,21.0,0.0,18.63,TM,1593153433
Terney,45.05,136.61,55.31,92.0,100.0,8.21,RU,1593153433
Jamundí,3.26,-76.53,69.8,88.0,75.0,3.36,CO,1593153407
Melfi,41.0,15.65,73.99,73.0,5.0,3.36,IT,1593153433
Yakeshi,49.28,120.73,72.57,44.0,99.0,6.44,CN,1593153433
Hofn,64.25,-15.21,51.03,79.0,98.0,2.01,IS,1593153407
Petropavlovsk-Kamchatskiy,53.05,158.65,75.2,47.0,15.0,13.42,RU,1593153125
Grieskirchen,48.23,13.83,60.8,87.0,20.0,2.24,AT,1593153433
Giżycko,54.04,21.76,72.41,76.0,28.0,9.98,PL,1593153408
Isabela,6.71,121.97,82.4,78.0,40.0,5.82,PH,1593153408
Cleveland,41.5,-81.7,69.8,60.0,1.0,6.93,US,1593153203
Myitkyina,25.38,97.4,79.29,92.0,100.0,0.4,MM,1593153434
Beringovskiy,63.05,179.32,47.39,76.0,100.0,12.66,RU,1593153408
Kruisfontein,-34.0,24.73,58.73,85.0,4.0,8.39,ZA,1593153207
Yumen,40.28,97.2,89.58,11.0,100.0,4.38,CN,1593153207
Laguna,38.42,-121.42,73.99,56.0,1.0,9.17,US,1593153214
Mossamedes,-15.2,12.15,72.09,46.0,0.0,3.53,AO,1593153190
Lavrentiya,65.58,-171.0,44.22,71.0,100.0,14.36,RU,1593153434
Ponta do Sol,32.67,-17.1,68.0,60.0,40.0,8.05,PT,1593153204
Thinadhoo,0.53,72.93,84.94,72.0,60.0,9.78,MV,1593153434
Bareilly,28.35,79.42,99.86,38.0,0.0,8.7,IN,1593153434
Portland,45.52,-122.68,72.0,60.0,20.0,9.17,US,1593153342
Ust-Nera,64.57,143.2,79.7,24.0,74.0,5.79,RU,1593153434
Broken Hill,-31.95,141.43,60.8,42.0,40.0,8.05,AU,1593153434
Windsor Locks,41.93,-72.63,66.2,68.0,20.0,3.36,US,1593153434
Shāmgarh,24.18,75.63,94.87,46.0,74.0,11.36,IN,1593153434
Yulara,-25.24,130.99,66.2,26.0,0.0,8.05,AU,1593153213
Manyana,-23.4,21.72,54.36,45.0,0.0,6.31,BW,1593153435
Xuchang,34.02,113.82,89.6,59.0,100.0,4.47,CN,1593153435
Weiser,44.25,-116.97,75.2,41.0,1.0,8.05,US,1593153206
Paragould,36.06,-90.5,75.2,88.0,20.0,8.88,US,1593153435
Yuli,9.7,10.27,79.39,77.0,99.0,9.66,NG,1593153435
Morgan City,29.7,-91.21,77.0,100.0,90.0,8.05,US,1593153435
Marystown,47.17,-55.15,60.15,97.0,100.0,7.85,CA,1593153210
Bhadrak,21.06,86.51,99.48,44.0,78.0,14.43,IN,1593153435
Zhangye,38.93,100.45,89.56,12.0,100.0,10.18,CN,1593153435
Mbandaka,0.05,18.26,71.64,93.0,100.0,2.73,CD,1593153409
Kapoeta,4.77,33.59,82.83,51.0,0.0,17.27,SS,1593153435
Muroto-misakicho,33.28,134.15,82.4,83.0,75.0,10.29,JP,1593153182
Cervo,43.67,-7.41,62.01,83.0,100.0,1.01,ES,1593153435
Opuwo,-18.06,13.84,60.67,31.0,0.0,7.31,NA,1593153209
Husavik,66.04,-17.34,50.0,93.0,90.0,8.05,IS,1593153181
Karabulak,43.3,44.9,71.6,68.0,75.0,6.71,RU,1593153435
Cabo San Lucas,22.89,-109.91,78.01,87.0,0.0,8.1,MX,1593153002
Marfino,55.7,37.38,70.0,56.0,40.0,6.71,RU,1593153436
Sinjai,-5.12,120.25,82.56,73.0,12.0,5.59,ID,1593153340
Tual,-5.67,132.75,80.46,84.0,88.0,17.25,ID,1593153409
Verāval,20.9,70.37,89.11,65.0,74.0,10.45,IN,1593153436
San Jerónimo,-11.95,-75.28,46.62,69.0,53.0,3.51,PE,1593153182
Gandajika,-6.75,23.95,76.21,30.0,98.0,7.25,CD,1593153410
Obihiro,42.92,143.2,57.2,93.0,75.0,6.93,JP,1593153436
Priupskiy,53.91,37.74,64.71,85.0,98.0,7.07,RU,1593153436
Middle Island,40.88,-72.94,70.0,77.0,1.0,8.81,US,1593153248
Vao,-22.67,167.48,69.51,59.0,0.0,10.49,NC,1593153201
San Luis,-33.3,-66.34,38.95,65.0,50.0,5.97,AR,1593153267
Lucapa,-8.42,20.74,69.93,28.0,22.0,6.69,AO,1593153436
Tessalit,20.2,1.01,95.38,10.0,0.0,8.23,ML,1593153216
Benguela,-12.58,13.41,68.0,94.0,90.0,3.69,AO,1593153204
Talnakh,69.49,88.4,69.8,52.0,40.0,11.18,RU,1593153184
La Ronge,55.1,-105.28,62.6,72.0,90.0,2.24,CA,1593153436
Camacha,33.08,-16.33,66.2,72.0,75.0,14.99,PT,1593153436
Iqaluit,63.75,-68.51,37.4,86.0,20.0,3.36,CA,1593153184
San Rafael,-34.62,-68.33,42.17,58.0,92.0,5.86,AR,1593153198
Shimoda,34.67,138.95,80.01,94.0,75.0,17.22,JP,1593153200
Zhigansk,66.77,123.37,79.34,36.0,12.0,3.09,RU,1593153212
Lafia,8.48,8.52,77.11,86.0,99.0,2.55,NG,1593153437
Oktyabr'skoye,43.06,44.74,71.6,68.0,75.0,6.71,RU,1593153437
Redmond,47.67,-122.12,66.99,69.0,77.0,1.01,US,1593153425
Kefamenanu,-9.45,124.48,78.31,65.0,15.0,9.37,ID,1593153437
Altamira,-3.2,-52.21,71.01,97.0,89.0,1.03,BR,1593153410
Pacific Grove,36.62,-121.92,57.99,93.0,90.0,4.7,US,1593153202
Okha,53.57,142.95,42.35,96.0,100.0,13.38,RU,1593153437
Broome,42.25,-75.83,57.99,93.0,1.0,6.93,US,1593153201
Nabire,-3.37,135.48,83.1,78.0,100.0,1.97,ID,1593153437
Goderich,43.75,-81.72,66.99,81.0,0.0,8.52,CA,1593153437
Comodoro Rivadavia,-45.87,-67.5,37.0,81.0,100.0,19.44,AR,1593153215
Vestmannaeyjar,63.44,-20.27,51.3,82.0,100.0,9.48,IS,1593153437
Port Blair,11.67,92.75,85.95,68.0,100.0,11.36,IN,1593153197
Sobolevo,54.43,31.9,73.87,66.0,0.0,4.34,RU,1593153437
Nhulunbuy,-12.23,136.77,80.6,69.0,90.0,13.87,AU,1593153437
Phan Thiet,10.93,108.1,86.45,72.0,100.0,11.16,VN,1593153392
Shestakovo,56.49,103.96,85.05,32.0,42.0,5.1,RU,1593153438
Aden,12.78,45.04,87.33,70.0,0.0,12.91,YE,1593153291
Tiarei,-17.53,-149.33,78.8,74.0,20.0,13.87,PF,1593153411
Moose Factory,51.26,-80.61,42.8,100.0,90.0,6.93,CA,1593153220
Anáhuac,27.23,-100.15,78.85,77.0,100.0,15.7,MX,1593153438
Hirara,24.8,125.28,86.0,84.0,75.0,14.99,JP,1593153438
Gazimurskiy Zavod,51.55,118.33,75.88,37.0,76.0,7.2,RU,1593153438
Palivere,58.97,23.89,77.0,56.0,0.0,4.7,EE,1593153411
Biggar,55.62,-3.52,57.99,96.0,100.0,1.01,GB,1593153438
Catamayo,-3.98,-79.35,64.45,76.0,98.0,3.8,EC,1593153438
Dudinka,69.41,86.18,69.8,52.0,40.0,11.18,RU,1593153125
Innisfail,-17.53,146.03,68.41,75.0,5.0,8.59,AU,1593153438
Harlingen,26.19,-97.7,79.0,94.0,90.0,4.7,US,1593153278
Dolores,-36.31,-57.68,38.97,73.0,97.0,8.48,AR,1593153412
Kahului,20.89,-156.47,78.8,69.0,1.0,14.99,US,1593153030
Tongliao,43.61,122.27,75.07,49.0,100.0,11.16,CN,1593153412
Rome,43.21,-75.46,57.99,93.0,1.0,3.36,US,1593153438
Umm Kaddadah,13.6,26.69,86.58,44.0,100.0,14.54,SD,1593153438
Gushikawa,26.35,127.87,78.8,94.0,40.0,3.36,JP,1593153206
Kloulklubed,7.04,134.26,80.6,88.0,75.0,6.93,PW,1593153210
Biak,-0.91,122.88,80.02,78.0,87.0,7.4,ID,1593153439
Zamora,-4.07,-78.96,67.6,74.0,100.0,0.54,EC,1593153439
Jambi City,-1.6,103.62,92.23,46.0,98.0,3.49,ID,1593153412
Romodanovo,54.43,45.33,64.74,60.0,5.0,9.22,RU,1593153439
Vallenar,-28.57,-70.76,55.08,54.0,100.0,2.01,CL,1593153439
Laje,-10.18,-40.97,64.22,92.0,55.0,8.66,BR,1593153412
Vila Velha,-20.33,-40.29,64.99,93.0,3.0,2.24,BR,1593153086
Santa María del Oro,25.93,-105.37,69.13,61.0,56.0,1.86,MX,1593153412
Najrān,17.49,44.13,91.4,14.0,0.0,7.72,SA,1593153439
Manicoré,-5.81,-61.3,72.82,75.0,0.0,1.81,BR,1593153439
Quatre Cocos,-20.21,57.76,75.99,73.0,40.0,17.22,MU,1593153183
Lorengau,-2.02,147.27,84.85,73.0,3.0,12.21,PG,1593153212
Williams Lake,52.14,-122.14,60.8,55.0,75.0,6.93,CA,1593153412
Margate,51.38,1.39,69.01,83.0,100.0,1.99,GB,1593153220
Soe,-9.86,124.28,74.5,70.0,75.0,8.63,ID,1593153413
Henties Bay,-22.12,14.28,51.01,91.0,0.0,8.84,NA,1593153439
Bilma,18.69,12.92,94.14,11.0,0.0,4.61,NE,1593153440
Anapskaya,44.89,37.38,77.0,47.0,0.0,15.66,RU,1593153440
St. Pete Beach,27.73,-82.74,82.0,1.0,100.0,5.88,US,1593153210
Rabo de Peixe,37.8,-25.58,66.2,93.0,75.0,9.17,PT,1593153440
Slave Lake,55.28,-114.77,60.8,55.0,75.0,10.29,CA,1593153440
Kikwit,-5.04,18.82,82.4,36.0,86.0,2.89,CD,1593153413
Chabahar,25.29,60.64,89.33,65.0,48.0,7.94,IR,1593153440
Östersund,63.18,14.64,68.0,60.0,4.0,3.36,SE,1593153440
Antofagasta,-23.65,-70.4,59.0,77.0,90.0,3.36,CL,1593153147
Skibbereen,51.55,-9.27,57.2,87.0,75.0,5.82,IE,1593153209
Fenoarivo Atsinanana,-17.37,49.42,74.34,83.0,21.0,8.99,MG,1593153440
Babol,36.55,52.68,86.0,51.0,40.0,9.17,IR,1593153440
Serebryansk,49.69,83.29,82.4,39.0,20.0,4.47,KZ,1593153440
Inhambane,-23.86,35.38,62.6,93.0,20.0,3.36,MZ,1593153413
Batemans Bay,-35.72,150.18,57.0,65.0,2.0,1.39,AU,1593153229
Odienné,9.51,-7.57,71.53,93.0,0.0,1.77,CI,1593153440
Abaeté,-19.16,-45.45,61.68,76.0,60.0,0.47,BR,1593153413
Ketchikan,55.34,-131.65,50.0,100.0,90.0,9.17,US,1593153414
Isla Mujeres,21.23,-86.73,84.0,100.0,40.0,5.82,MX,1593153440
Port Keats,-14.25,129.55,87.96,29.0,76.0,1.54,AU,1593153440
Kiryat Gat,31.61,34.76,78.01,66.0,0.0,4.79,IL,1593153441
Belaya Gora,68.53,146.42,75.45,38.0,5.0,13.13,RU,1593153201
Robertsport,6.75,-11.37,77.72,86.0,100.0,9.98,LR,1593153441
Adrar,20.5,-10.07,90.75,18.0,0.0,7.18,MR,1593153213
Maragogi,-9.01,-35.22,74.41,87.0,74.0,10.8,BR,1593153212
Nuuk,64.18,-51.72,35.6,100.0,69.0,6.93,GL,1593153441
Banjarmasin,-3.32,114.59,87.8,62.0,20.0,6.93,ID,1593153441
Hambantota,6.12,81.12,77.0,100.0,75.0,8.05,LK,1593153178
Bocas del Toro,9.33,-82.25,78.98,79.0,88.0,8.25,PA,1593153414
Mujiayingzi,42.12,118.78,74.93,45.0,0.0,5.01,CN,1593153414
Beloha,-25.17,45.05,73.29,60.0,61.0,13.2,MG,1593153441
Kontagora,10.4,5.47,76.6,84.0,28.0,6.89,NG,1593153441
Baykit,61.67,96.37,81.72,26.0,0.0,7.67,RU,1593153441
Ponta Delgada,37.73,-25.67,66.2,93.0,75.0,9.17,PT,1593153212
La Tuque,47.43,-72.78,51.67,92.0,25.0,5.59,CA,1593153441
Abapó,-18.83,-63.47,53.1,72.0,89.0,3.04,BO,1593153441
Mandera,3.94,41.87,86.31,48.0,18.0,17.43,KE,1593153441
Sioux Lookout,50.1,-91.92,64.4,72.0,75.0,4.7,CA,1593153441
Shenjiamen,29.96,122.3,78.57,91.0,12.0,9.04,CN,1593153441
Kenai,60.55,-151.26,60.8,44.0,1.0,6.93,US,1593153441
Anadyr,64.75,177.48,50.0,93.0,75.0,11.18,RU,1593153213
Cardston,49.2,-113.3,62.6,87.0,1.0,12.75,CA,1593153442
Raja,8.46,25.68,74.21,82.0,63.0,4.88,SS,1593153442
Wanxian,30.8,108.39,96.89,47.0,79.0,8.46,CN,1593153442
KwaDukuza,-29.33,31.29,51.8,76.0,0.0,3.36,ZA,1593153442
Alofi,-19.06,-169.92,73.4,88.0,53.0,6.93,NU,1593153200
Verkhnevilyuysk,63.45,120.32,79.48,41.0,93.0,5.73,RU,1593153415
Nouakchott,18.09,-15.98,75.2,88.0,29.0,9.17,MR,1593153209
Makkah al Mukarramah,21.43,39.83,103.8,8.0,0.0,8.79,SA,1593153185
Sherpur,25.02,90.02,86.65,78.0,100.0,7.94,BD,1593153442
Venado Tuerto,-33.75,-61.97,41.07,66.0,9.0,5.88,AR,1593153442
Teya,60.38,92.63,82.26,24.0,67.0,4.88,RU,1593153209
Chokwé,-24.53,32.98,68.13,61.0,0.0,4.54,MZ,1593153442
Senno,59.53,33.92,77.49,49.0,0.0,8.34,RU,1593153442
Yaan,7.38,8.57,75.69,90.0,84.0,8.52,NG,1593153442
Honiara,-9.43,159.95,89.6,59.0,40.0,11.41,SB,1593153216
Guerrero Negro,27.98,-114.06,63.19,87.0,0.0,11.74,MX,1593153205
Fairbanks,64.84,-147.72,62.6,45.0,75.0,5.82,US,1593153217
Virginia Beach,36.85,-75.98,71.01,83.0,75.0,4.7,US,1593153256
Iki-Burul,45.82,44.65,69.8,28.0,0.0,8.95,RU,1593153442
Bilibino,68.05,166.44,45.25,58.0,86.0,12.75,RU,1593153203
Berlevåg,70.86,29.09,53.6,66.0,75.0,28.86,NO,1593153221
Denpasar,-8.65,115.22,86.0,74.0,40.0,13.87,ID,1593153383
Bandarbeyla,9.49,50.81,90.64,46.0,90.0,27.18,SO,1593153416
Oodweyne,9.41,45.06,80.6,44.0,21.0,22.91,SO,1593153416
Bathurst,-33.42,149.58,51.01,65.0,0.0,6.26,AU,1593153443
Beranang,2.87,101.87,84.2,79.0,20.0,3.36,MY,1593153416
North Bend,43.41,-124.22,57.99,100.0,90.0,18.34,US,1593153200
Korla,41.76,86.15,80.01,49.0,0.0,4.0,CN,1593153443
Murchison,-41.8,172.33,46.87,79.0,100.0,2.95,NZ,1593153443
Härnösand,62.63,17.94,78.8,47.0,0.0,5.82,SE,1593153443
Valparaíso,-33.04,-71.63,48.2,81.0,100.0,4.7,CL,1593152947
Bulgan,48.81,103.53,73.74,42.0,3.0,4.9,MN,1593153443
Morón,-34.65,-58.62,45.0,56.0,70.0,5.82,AR,1593153443
Uchaly,54.3,59.45,52.83,55.0,69.0,13.94,RU,1593153443
Benidorm,38.54,-0.13,75.99,54.0,0.0,5.99,ES,1593153416
Obo,5.4,26.49,74.19,86.0,45.0,4.45,CF,1593153443
Ţalkhā,31.05,31.38,85.86,40.0,0.0,8.63,EG,1593153443
Farafangana,-22.82,47.83,72.23,85.0,42.0,11.56,MG,1593153443
Kharp,66.8,65.81,51.35,70.0,100.0,17.0,RU,1593153183
High Rock,26.62,-78.28,82.02,81.0,73.0,10.67,BS,1593153444
Santiago del Estero,-27.8,-64.26,50.05,54.0,100.0,6.04,AR,1593153212
Umluj,25.02,37.27,88.36,48.0,0.0,13.02,SA,1593153444
High Level,58.52,-117.14,59.0,62.0,90.0,2.24,CA,1593153417
Cap-aux-Meules,47.38,-61.86,61.59,80.0,100.0,13.2,CA,1593153444
Arrondissement de Vire,48.92,-0.83,66.2,88.0,25.0,6.93,FR,1593153444
Pangai,-19.8,-174.35,77.0,78.0,20.0,10.29,TO,1593153417
Rocha,-34.48,-54.33,42.71,81.0,0.0,9.64,UY,1593153101
Sheridan,44.83,-106.92,57.2,82.0,1.0,4.85,US,1593153444
João Câmara,-5.54,-35.82,69.8,94.0,22.0,3.36,BR,1593153200
Dingle,11.0,122.67,82.69,78.0,100.0,5.08,PH,1593153211
Hastings,50.86,0.57,69.01,88.0,81.0,4.0,GB,1593153444
Strezhevoy,60.73,77.59,60.8,63.0,40.0,8.95,RU,1593153417
San Cristobal,7.77,-72.22,65.57,91.0,100.0,3.58,VE,1593153444
Tomatlán,19.93,-105.25,77.54,90.0,100.0,1.12,MX,1593153417
College,64.86,-147.8,62.6,51.0,75.0,5.82,US,1593153178
Salinas,36.68,-121.66,60.8,82.0,90.0,8.05,US,1593152962
Norsup,-16.07,167.38,78.8,94.0,75.0,11.97,VU,1593153417
Yerköy,39.64,34.47,72.64,47.0,0.0,10.85,TR,1593153444
Arlit,18.74,7.39,95.92,10.0,1.0,2.53,NE,1593153444
Mairang,25.57,91.63,82.4,88.0,90.0,2.24,IN,1593153189
Chekhov,55.14,37.47,69.01,63.0,40.0,8.95,RU,1593153445
Roverud,60.25,12.05,71.01,50.0,0.0,1.99,NO,1593153445
Rawson,-43.3,-65.1,39.0,81.0,8.0,20.89,AR,1593153208
Kortkeros,61.81,51.58,51.8,66.0,75.0,6.71,RU,1593153445
